,0,3,6,9,12,15,18,21,24,27,30
25,4.45,2.09783461499086,1.72555049978449,1.54221716645115,1.3628432452312,1.28231863616772,1.20971285133099,1.12835922405434,1.02555049978449,0.854417072421638,0.957225796691491
30,4.45,2.09783461499086,1.72555049978449,1.54221716645115,1.3628432452312,1.28231863616772,1.20971285133099,1.12835922405434,1.02555049978449,0.854417072421638,0.957225796691491
35,4.45,2.09783461499086,1.72555049978449,1.54221716645115,1.3628432452312,1.28231863616772,1.20971285133099,1.12835922405434,1.02555049978449,0.854417072421638,0.957225796691491
40,4.45,2.09783461499086,1.72555049978449,1.54221716645115,1.3628432452312,1.28231863616772,1.20971285133099,1.12835922405434,1.02555049978449,0.854417072421638,0.957225796691491
45,4.45,2.09783461499086,1.72555049978449,1.54221716645115,1.3628432452312,1.28231863616772,1.20971285133099,1.12835922405434,1.02555049978449,0.854417072421638,0.957225796691491
50,4.45,2.09783461499086,1.72555049978449,1.54221716645115,1.3628432452312,1.28231863616772,1.20971285133099,1.12835922405434,1.02555049978449,0.854417072421638,0.957225796691491
55,4.45,2.09783461499086,1.72555049978449,1.54221716645115,1.3628432452312,1.28231863616772,1.20971285133099,1.12835922405434,1.02555049978449,0.854417072421638,0.957225796691491
60,4.45,2.09783461499086,1.72555049978449,1.54221716645115,1.3628432452312,1.28231863616772,1.20971285133099,1.12835922405434,1.02555049978449,0.854417072421638,0.957225796691491
65,4.45,2.09783461499086,1.72555049978449,1.54221716645115,1.3628432452312,1.28231863616772,1.20971285133099,1.12835922405434,1.02555049978449,0.854417072421638,0.957225796691491
70,4.45,2.09783461499086,1.72555049978449,1.54221716645115,1.3628432452312,1.28231863616772,1.20971285133099,1.12835922405434,1.02555049978449,0.854417072421638,0.957225796691491
75,4.45,2.09783461499086,1.72555049978449,1.54221716645115,1.3628432452312,1.28231863616772,1.20971285133099,1.12835922405434,1.02555049978449,0.854417072421638,0.957225796691491
